time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010447700000	20.1703	10.3439	4.85308	1.32871	0.476133	lidar	1.10018	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.1836	10.5822	4.75856	1.38382	0.537011	radar	2.47603	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2358	10.8687	4.88196	1.4189	0.549315	lidar	2.11458	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2601	11.1399	4.99758	1.44997	0.542713	radar	4.82518	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.2972	11.371	4.95855	1.46865	0.531376	lidar	0.0657737	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2383	11.6226	4.81233	1.55764	0.656102	radar	9.03004	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3141	11.8482	4.77045	1.55378	0.608434	lidar	5.36065	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3416	12.0871	4.91494	1.54513	0.511136	radar	4.41229	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3219	12.3898	5.05954	1.58866	0.535524	lidar	0.776102	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.269	12.6283	4.93032	1.65381	0.621286	radar	2.60732	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3018	12.8508	4.85653	1.65741	0.585575	lidar	2.24928	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.2949	13.0751	4.81129	1.67634	0.570274	radar	2.15135	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2652	13.274	4.7141	1.70179	0.565226	lidar	0.901364	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
